gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_1h	NRK_2h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
UL32	L	cluster_6	0.000949152542754793	0	0	0.000995024876305823	0	0.00056513139340848	0	0	0	0	0.000256109272860238	0	0	0	0.00112892301061276	0	0.000660174945139046	0.000367457451984858	0	0	0.000217092409559239	0.000384847985665827	0.000611216532794725
UL33	E	cluster_8	3.69799694042541e-05	0	0	0	0.00034188034099943	0.000113026278331597	0	0	0	0	0	0	0	0	0.000451569205144812	0.000103241790749735	0.000110029156949336	0	0	0	0	2.74891412245902e-05	0
UL34	E		0	0.0228571428567402	0.010443864229787	0.0338308457716756	0	0	0.0175438596491228	0.0404624277453447	0	0.0257510729603493	0	0.0150753768855559	0.0311173974549312	0.0452729693734316	0	0	0	0	0	0	0	0	0
UL35	L	cluster_1	0.133448382121513	0.00285714285662896	0.00522193211489351	0.0288557213939336	0.0423931623949242	0.0816049731602209	0	0.00578034682127385	0	0.00429184549436151	0.148724789242332	0	0.0226308345112875	0.0119840213056125	0.0465116279027398	0.0704625232306939	0.113550090772219	0.113953713252834	0	0.0371163454682197	0.0450828569353376	0.0824674253695619	0.0987327917632832
UL36	L	cluster_6	0.00131895223503476	0	0	0.000995024876305823	0.000170940171490741	0.00056513139340848	0	0	0	0	0.00117383416910007	0	0	0	0.000903138408040358	0.000258104480748177	0.000990262419430086	0.000570526044427248	0	0	7.23641371139525e-05	0.00021991313490966	0.000881288957013119
UL37	L	cluster_6	0.00477041602671014	0	0	0.00199004975071811	0.00290598290543234	0	0	0.00578034682127385	0	0	0.0014299434419603	0.00502512562776655	0	0.00133155792351117	0.00112892301286203	0.00221969853404694	0.00159542278695522	0.000979886539565345	0	0	0.00101309790889963	0.0014156908003354	0.00189050695494492
UL38	E	cluster_9	0.0198089368261195	0.0200000000019655	0.0130548302872338	0.020895522387274	0.0252991452993655	0.0207403221246124	0	0.0346820809240708	0	0.00429184549436151	0.0153558851760143	0.0150753768832996	0.0141442715695547	0.00932090545859014	0.0241589523582856	0.0237456122249584	0.0174396214995581	0.0229209644132544	0	0.0185581727331241	0.0331427744381014	0.0308703062309235	0.0221459386076614
UL39	E	cluster_2	0.000616332819879082	0.0114285714283701	0.00261096605744676	0	0.00358974358941325	0	0.0175438596491228	0.0173410404620354	0	0	0.000181410736375793	0	0.00282885431391093	0.00665778961555982	0	0.000671071649557876	0.000660174945139046	0.000112815885629275	0	0.00214132762419016	7.23641371139525e-05	0.000261146845042233	0.000390894294756765
UL40	E	cluster_5	0.0331956856711435	0.0857142857155572	0.0887728459531897	0.0467661691541836	0.0379487179460752	0.0735235942367553	0.12280701754386	0.150289017338831	0.142857142857143	0.120171673816903	0.0171593213097773	0.105527638192123	0.114568599719125	0.0758988015962243	0	0.0256555853809454	0.0412609341469371	0.00458677153282555	0.108695652178923	0.0749464668072266	0.0858962298219523	0.0333168398476328	0.02728442179606
UL41	L	cluster_4	0.00484437596199349	0.0314285714284814	0.020887728459574	0.00895522388107181	0.0111111111112212	0.0114156541394992	0	0.00578034682127385	0	0.0214592274679277	0.00343613275020125	0.0502512562821781	0.0155586987265101	0.00932090545859014	0.00993452246370201	0.0071236836682623	0.00786708477782678	0.0037487106753951	0.0652173913028932	0.0114204139897665	0.00955206599743249	0.0105558304466904	0.0090047831250275
UL42	L	cluster_3	0.0128320493057228	0	0.0130548302872338	0.0179104477602501	0.0176068376100309	0.0114156541394992	0.0175438596491228	0.0289017341045831	0	0.0429184549358554	0.00665884110531003	0.00502512562776655	0.0396039603947531	0.0173102529996571	0.017836983517748	0.0158476151144516	0.00990262419430086	0.00934115523403831	0	0.0135617416139567	0.0179463058135201	0.0128649183555724	0.012160366161362
UL43	L	cluster_3	0.00746995377559492	0.0342857142869646	0.010443864229787	0.0169154228858378	0.0211965811994442	0.0137892059897142	0.0526315789473684	0.0462427745666185	0.0714285714285714	0.0643776824018432	0.00491943229054382	0.0301507537688556	0.0325318246118866	0.0239680426092289	0.0124181530807521	0.0129568449289099	0.0163393299231787	0.00588254254764539	0.0217391304342977	0.0335474660965409	0.0186699471739639	0.014005717738549	0.0158845227195524
UL44	L	cluster_10	0.0121910631764327	0	0	0.00995024875737763	0.0104273504272403	0.00497315625884373	0	0	0	0	0.00868637285321657	0.00502512562776655	0.00282885431391093	0	0.0049672612385988	0.00929176130306053	0.00990262419602237	0.0256156523977634	0	0.0107066381150365	0.00180910340824001	0.00478311067022453	0.0116628643319662
UL26.5	L	cluster_3	0.124018489976305	0.12571428571578	0.146214099214911	0.0796019900457664	0.0770940170925856	0.0756710935285566	0.0526315789473684	0.0578034682073801	0.357142857142857	0.0600858369113616	0.0447550955081518	0.0502512562821781	0.0664780763788178	0.0758988015982203	0.0539625197538902	0.0515692752465129	0.0494581063973334	0.0569623517260515	0.0434782608685955	0.0606709493185399	0.0509443519773935	0.0468140084650053	0.0562177068027474
UL26	L	cluster_1	0.0138058551614138	0.00285714285662896	0.00522193211489351	0.00895522388107181	0.00940170940225997	0.00548177451308641	0	0	0	0	0.00506882936820294	0.00502512562776655	0.00141442715695547	0.00399467376853749	0.012192368480429	0.00965310757455844	0.00671177862211193	0.00660778751803798	0	0.00285510349694877	0.00419711990982641	0.0045631975387235	0.00654570264984713
UL25	L	cluster_1	0.00251463790362609	0	0	0.00199004975261165	0.00290598290543234	0.00107374964590067	0	0	0	0	0.000907053677188738	0	0	0	0.000903138408040358	0.000722692546869663	0.00137536447133503	0.000670448686226077	0	0.000713775874730054	0.000144728274227905	0.00086590796561772	0.00120821873131055
UL24	L	cluster_9	0.00210785824546703	0	0	0.000995024876305823	0.000683760683980912	0	0	0	0	0	0.00113114928976889	0	0	0	0.000903138408040358	0.000877555234931185	0.00082521868486684	0.000393243939645748	0	0	0.00137491859090415	0.00122326681005896	0.0010945040262912
UL23	L	cluster_5	0.0062619414505355	0.0542857142852216	0.161879895561699	0.023880597014298	0	0.0148629556373654	0.105263157894737	0.0693641618499278	0	0.103004291843337	0.00307331127901308	0.0603015075377111	0.0495049504953522	0.0452729693714356	0	0	0.0100676679305856	0.00170513151136652	0.0434782608685955	0.0292648108481606	0.0281496490324998	0	0.00749806329445904
UL22	L	cluster_11	0.00278582434592396	0	0.00522193211489351	0.00398009950332976	0.00410256410388547	0.00192144673338764	0	0	0	0	0.00199551808918986	0.00502512562776655	0	0.00399467376853749	0.00496726123634954	0.00289077018360481	0.0030258018393472	0.00129254770597511	0	0.00571020699586898	0.00123019031667625	0.00185551707185904	0.00246618764556067
CTO-S	L	cluster_1	0.110126348224903	0.0257142857133692	0.11227154047021	0.162189054722344	0.298803418796592	0.310878779324776	0.0350877192982456	0.0231213872833093	0	0.0429184549358554	0.490417244689427	0.0502512562821781	0.134370579916502	0.0585885485985632	0.332580717960685	0.341214123485172	0.377840127625483	0.49007864878514	0	0.32976445395574	0.271799696053338	0.457914123940665	0.38218801305022
CTO-M	L	cluster_10	0.000517719568134405	0	0	0.000995024876305823	0.000512820512490171	0.000678157669989582	0	0	0	0	0.00102443709300436	0	0	0	0.000225784602572406	5.16208953748677e-05	0	0.000776817947122955	0	0	0	0	0.000547252013955814
CTO-L	unknown	cluster_11	0.00512788906075944	0.0114285714283701	0	0.00895522388107181	0.00735042734833519	0.00423848544618736	0	0	0	0.00429184549436151	0.00296659908224854	0.0100502512555331	0.0042432814708664	0.00932090545859014	0	5.16208953748677e-05	0.00385102052077101	0.00185018050516332	0	0.00356887937167882	0	2.74891412245902e-05	0.00262254535989844
UL21	L	cluster_8	0	0	0.00522193211489351	0	0	0	0	0	0	0	0	0	0	0	0.00722510725082727	0.00583316126452141	0	0	0	0	0.00231565236268983	0.00331244158573564	0
UL20	L	cluster_3	0.000727272728091845	0	0.00522193211489351	0.000995024876305823	0.000512820514472222	0.000113026278331597	0	0.00578034682127385	0	0	0.000544232206000561	0.00502512562776655	0	0.00399467376853749	0.000225784602572406	0.000567829856871222	0.000990262421151602	0.000367457453393445	0	0.00142755174946011	0.00115782618312753	0.000920886249771214	0.000938146307092152
UL19	L	cluster_4	0.00866563944418625	0	0.00783289817234027	0.00398009950143623	0.00735042735229929	0.00322124894120299	0.0175438596491228	0.00578034682127385	0	0	0.00435385764487767	0	0	0.00399467376853749	0.00519304583667268	0.00443939706809388	0.00555647246467556	0.00656266116604001	0.0217391304342977	0.00428265524640887	0.00253274477403168	0.00332618615634793	0.00665941735486648
UL18	L	cluster_1	0.0950138674866847	0.0457142857134804	0.0835509138382962	0.0676616915395641	0.0605128205114991	0.0618818875405929	0.0350877192982456	0.028901734102797	0.0714285714285714	0.047210300428277	0.0545192615496282	0.0351758793988784	0.0438472418675304	0.0439414114499204	0.0740573492816173	0.0671071649829045	0.0444517797208476	0.0516374419804115	0	0.0292648108501321	0.0458064982957815	0.0449859805411881	0.0421739408552004
UL15	L	cluster_3	0.000665639445751421	0	0	0.000995024876305823	0.00034188034099943	0	0	0	0	0.00429184549436151	0.000192081955426882	0	0	0	0.0011289230083635	0.000722692544932744	0.000550145789911227	0.000106369262305465	0	0.000713775874730054	0.000651277228677718	0.000274891419063154	0.000597002195274967
