gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	1480.3849			cluster_5
UL51	L	2h	2	PC_12	PC_12_2h	4669.779853			cluster_5
UL51	L	4h	4	PC_12	PC_12_4h	4918.691027			cluster_5
UL51	L	6h	6	PC_12	PC_12_6h	0			cluster_5
UL51	L	8h	8	PC_12	PC_12_8h	0			cluster_5
UL51	L	12h	12	PK_15	PK_15_12h	718.53547			cluster_5
UL51	L	1h	1	PK_15	PK_15_1h	2923.976608			cluster_5
UL51	L	2h	2	PK_15	PK_15_2h	2172.338885			cluster_5
UL51	L	4h	4	PK_15	PK_15_4h	0			cluster_5
UL51	L	6h	6	PK_15	PK_15_6h	4532.294615			cluster_5
UL51	L	8h	8	PK_15	PK_15_8h	2907.907492			cluster_5
UL50	L	12h	12	C6	C6_12h	2112.050578			cluster_5
UL50	L	1h	1	C6	C6_1h	12326.656394			cluster_5
UL50	L	2h	2	C6	C6_2h	14869.888476			cluster_5
UL50	L	4h	4	C6	C6_4h	5780.346821			cluster_5
UL50	L	6h	6	C6	C6_6h	0			cluster_5
UL50	L	8h	8	C6	C6_8h	0			cluster_5
UL50	L	12h	12	NRK	NRK_12h	4042.051677			cluster_5
UL50	L	1h	1	NRK	NRK_1h	30303.030303			cluster_5
UL50	L	2h	2	NRK	NRK_2h	19417.475728			cluster_5
UL50	L	4h	4	NRK	NRK_4h	10563.380282			cluster_5
UL50	L	6h	6	NRK	NRK_6h	4574.196153			cluster_5
UL50	L	8h	8	NRK	NRK_8h	5472.961934			cluster_5
UL50	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_5
UL50	L	1.5h	1.5	PC_12	PC_12_1.5h	19911.504426			cluster_5
UL50	L	12h	12	PC_12	PC_12_12h	1030.667476			cluster_5
UL50	L	1h	1	PC_12	PC_12_1h	11135.857461			cluster_5
UL50	L	2.5h	2.5	PC_12	PC_12_2.5h	14063.65655			cluster_5
UL50	L	2h	2	PC_12	PC_12_2h	10673.782522			cluster_5
UL50	L	4h	4	PC_12	PC_12_4h	0			cluster_5
UL50	L	6h	6	PC_12	PC_12_6h	3811.097489			cluster_5
UL50	L	8h	8	PC_12	PC_12_8h	0			cluster_5
UL50	L	12h	12	PK_15	PK_15_12h	697.940504			cluster_5
UL50	L	1h	1	PK_15	PK_15_1h	2923.976608			cluster_5
UL50	L	2h	2	PK_15	PK_15_2h	0			cluster_5
UL50	L	4h	4	PK_15	PK_15_4h	0			cluster_5
UL50	L	6h	6	PK_15	PK_15_6h	2750.022177			cluster_5
UL50	L	8h	8	PK_15	PK_15_8h	2021.938693			cluster_5
UL49.5	L	12h	12	C6	C6_12h	12301.645581			cluster_6
UL49.5	L	1h	1	C6	C6_1h	24653.312788			cluster_6
UL49.5	L	2h	2	C6	C6_2h	0			cluster_6
UL49.5	L	4h	4	C6	C6_4h	9458.749345			cluster_6
UL49.5	L	6h	6	C6	C6_6h	12850.366537			cluster_6
UL49.5	L	8h	8	C6	C6_8h	13753.026635			cluster_6
UL49.5	L	12h	12	NRK	NRK_12h	9356.767075			cluster_6
UL49.5	L	1h	1	NRK	NRK_1h	20202.020202			cluster_6
UL49.5	L	2h	2	NRK	NRK_2h	19417.475729			cluster_6
UL49.5	L	4h	4	NRK	NRK_4h	12323.943662			cluster_6
UL49.5	L	6h	6	NRK	NRK_6h	8341.181219			cluster_6
UL49.5	L	8h	8	NRK	NRK_8h	9230.517889			cluster_6
UL49.5	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_6
UL49.5	L	1.5h	1.5	PC_12	PC_12_1.5h	26548.672568			cluster_6
UL49.5	L	12h	12	PC_12	PC_12_12h	10477.315077			cluster_6
UL49.5	L	1h	1	PC_12	PC_12_1h	22271.714922			cluster_6
UL49.5	L	2.5h	2.5	PC_12	PC_12_2.5h	27387.120651			cluster_6
UL49.5	L	2h	2	PC_12	PC_12_2h	26017.344897			cluster_6
