gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
CTO-L	unknown	cluster_10	2909.314703	6163.328197	0	4729.374672	3708.49504	2421.307505	1281.626142	0	0	2934.2723	0	81.685999	0	2212.389381	1897.520255	4454.342984	2220.57735	4669.779853	0	26.651031	2236.993481	1313.501144	0	1810.282404	0	16.129162	1618.42815
UL21	L	cluster_8	0	0	2478.314746	0	0	0	0	0	0	0	2018.027715	1388.661983	0	0	0	0	0	0	3212.206386	3011.566548	0	0	0	0	1299.017618	1943.564061	0
UL20	L	cluster_3	412.619153	0	2478.314746	525.486075	258.732213	64.5682	143.398729	0	3236.245955	0	269.070362	408.429995	0	0	348.106234	2227.171492	0	2001.334223	100.38145	293.161345	575.226896	260.869566	0	724.112962	649.50881	540.326938	578.949907
UL19	L	cluster_1	4916.462105	0	3717.472119	2101.944298	3708.495042	1840.193705	1711.822329	10101.010101	3236.245955	1173.70892	941.746267	1388.661983	0	0	2784.84987	0	0	2001.334223	2308.77334	2291.9887	3227.662022	4659.038902	2923.976608	2172.338885	1420.800521	1951.628642	4109.667148
UL18	L	cluster_7	53906.244537	24653.312788	39653.035936	35733.053074	30530.401035	35351.089588	42356.399617	20202.020202	16181.229773	25234.741784	26772.501009	32347.655612	32258.064516	24336.283186	34872.053894	15590.200446	22945.965951	22014.676451	32925.115439	34646.340814	25821.296178	36659.038902	0	14844.315714	25696.192254	26395.374157	26026.429941
UL15	L	cluster_3	377.651428	0	0	525.486075	172.488141	0	250.947776	0	0	0	134.535181	163.371998	0	2212.389381	122.861024	0	0	0	501.907248	373.114439	319.570498	75.514874	0	362.056481	365.348706	161.291624	368.422668
UL17	L	cluster_1	1042.038199	0	0	1050.972149	517.464425	548.829701	161.323571	0	0	0	269.070362	163.371998	0	0	491.444095	0	0	0	401.525799	612.973722	543.269846	411.899313	0	0	243.565804	459.681127	605.265813
UL16	L	cluster_11	0	0	0	0	0	32.2841	179.248412	0	0	586.85446	0	0	0	0	0	0	0	0	200.7629	0	287.613449	0	0	0	284.160107	40.322905	0
UL14	L	cluster_3	0	6163.328197	0	0	1897.369557	1259.079903	0	0	0	1173.70892	538.140724	1552.033981	0	0	389.059908	0	0	3335.557038	0	799.530942	447.398696	183.066362	0	724.112962	974.263214	814.522697	644.73967
UL13	L		0	0	0	0	0	0	0	0	0	586.85446	0	81.685999	0	0	0	0	0	0	0	0	31.95705	0	0	0	0	0	0
