seqnames	strand	transcript_id	start.TR	end.TR	start.exon	end.exon	exon_number	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source
LT934125.1	+	UL42.3	51495	52437	51495	52437	1	51495	52437	51495	51495	52437	52437	TRUE	NAGATA
LT934125.1	+	UL42.5	52121	52437	52121	52437	1	52121	52437	52121	52121	52437	52437	TRUE	NAGATA
LT934125.1	+	UL42.5-S	52306	52437	52306	52437	1	52306	52437	52306	52306	52437	52437	TRUE	NAGATA
LT934125.1	+	UL42L-43	51148	53594	51148	53594	1	51148	53594	51148	51148	53594	53594	TRUE	NAGATA
LT934125.1	+	UL42L-43-44	51148	55161	51148	55161	1	51148	55161	51148	51148	55161	55161	TRUE	NAGATA
LT934125.1	+	UL43	52444	53594	52444	53594	1	52444	53594	52444	52444	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43-44	52460	55161	52460	55161	1	52460	55161	52460	52460	55161	55161	TRUE	NAGATA
LT934125.1	+	UL43-L	52306	53594	52306	53594	1	52306	53594	52306	52306	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43-L2	52121	53594	52121	53594	1	52121	53594	52121	52121	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43-L3	51495	53594	51495	53594	1	51495	53594	51495	51495	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43-S	52460	53594	52460	53594	1	52460	53594	52460	52460	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43.13	53421	53594	53421	53594	1	53421	53594	53421	53421	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43.6	52649	53594	52649	53594	1	52649	53594	52649	52649	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43.9	52789	53594	52789	53594	1	52789	53594	52789	52789	53594	53594	TRUE	NAGATA
LT934125.1	+	UL43.9-S	52806	53594	52806	53594	1	52806	53594	52806	52806	53594	53594	TRUE	NAGATA
LT934125.1	+	UL44	53648	55161	53648	55161	1	53648	55161	53648	53648	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44-AT	53648	55271	53648	55271	1	53648	55271	53648	53648	55271	55271	TRUE	NAGATA
LT934125.1	+	UL44-L3	53421	55161	53421	55161	1	53421	55161	53421	53421	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44-L4	52806	55161	52806	55161	1	52806	55161	52806	52806	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44-L5	52789	55161	52789	55161	1	52789	55161	52789	52789	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44-L6	52649	55161	52649	55161	1	52649	55161	52649	52649	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4	53736	55161	53736	55161	1	53736	55161	53736	53736	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S	53863	55161	53863	55161	1	53863	55161	53863	53863	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S10	54290	55161	54290	55161	1	54290	55161	54290	54290	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S11	54306	55161	54306	55161	1	54306	55161	54306	54306	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S12	54337	55161	54337	55161	1	54337	55161	54337	54337	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S13	54366	55161	54366	55161	1	54366	55161	54366	54366	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S14	54421	55161	54421	55161	1	54421	55161	54421	54421	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S15	54454	55161	54454	55161	1	54454	55161	54454	54454	55161	55161	TRUE	NAGATA
LT934125.1	+	UL44.4-S16	54475	55161	54475	55161	1	54475	55161	54475	54475	55161	55161	TRUE	NAGATA
