dcDNA_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA_TC_significance
TC_1050	LT934125.1	+	US4-AT	1	118864	121347	118864	121347	118864	121347	118864	118864	121347	121347	TRUE	NAGATA	118836	118878	27	1656508.558633	118864	***
TC_1053	LT934125.1	+	US4.2	1	119002	120477	119002	120477	119002	120477	119002	119002	120477	120477	TRUE	NAGATA	118999	119121	18	6170.482702	119061	***
TC_1054	LT934125.1	+	US4.3-S	1	119221	120477	119221	120477	119221	120477	119221	119221	120477	120477	TRUE	NAGATA	119145	119284	18	7673.942033	119217	***
TC_1056	LT934125.1	+	US4.5	1	119344	120477	119344	120477	119344	120477	119344	119344	120477	120477	TRUE	NAGATA	119327	119363	9	1551.667379	119343	***
TC_1058	LT934125.1	+	US4.5-S2	1	119436	120477	119436	120477	119436	120477	119436	119436	120477	120477	TRUE	NAGATA	119411	119454	13	3173.692779	119433	***
TC_1059	LT934125.1	+	US4.6	1	119500	120477	119500	120477	119500	120477	119500	119500	120477	120477	TRUE	NAGATA	119451	119510	7	1479.386085	119484	***
TC_1061	LT934125.1	+	US4.6-S	1	119632	120477	119632	120477	119632	120477	119632	119632	120477	120477	TRUE	NAGATA	119608	119678	14	3230.569749	119637	***
TC_1067	LT934125.1	+	US4.7	1	120081	120477	120081	120477	120081	120477	120081	120081	120477	120477	TRUE	NAGATA	119972	120207	20	17012.348197	120074	***
TC_1069	LT934125.1	+	US4.7-S	1	120256	120477	120256	120477	120256	120477	120256	120256	120477	120477	TRUE	NAGATA	120228	120283	12	2328.202756	120251	***
TC_1072	LT934125.1	+	US6	1	120555	121842	120555	121842	120555	121842	120555	120555	121842	121842	TRUE	NAGATA	120544	120569	21	36057.610263	120555	***
TC_1072	LT934125.1	+	US6-7	1	120555	122915	120555	122915	120555	122915	120555	120555	122915	122915	TRUE	NAGATA	120544	120569	21	36057.610263	120555	***
TC_1072	LT934125.1	+	US6-7-8-9-2	1	120555	126151	120555	126151	120555	126151	120555	120555	126151	126151	TRUE	NAGATA	120544	120569	21	36057.610263	120555	***
TC_1078	LT934125.1	+	US7-L	1	120934	122915	120934	122915	120934	122915	120934	120934	122915	122915	TRUE	NAGATA	120922	120955	16	5396.924691	120935	***
TC_1079	LT934125.1	+	US7-L2	1	121058	122915	121058	122915	121058	122915	121058	121058	122915	122915	TRUE	NAGATA	120982	121113	8	2759.466181	121027	***
TC_1092	LT934125.1	+	US7-L3	1	121715	122915	121715	122915	121715	122915	121715	121715	122915	122915	TRUE	NAGATA	121695	121755	13	1401.645129	121717	***
TC_1093	LT934125.1	+	US7	1	121784	122915	121784	122915	121784	122915	121784	121784	122915	122915	TRUE	NAGATA	121767	121805	26	273621.844233	121784	***
TC_1093	LT934125.1	+	US7-8-9	1	121784	125230	121784	125230	121784	125230	121784	121784	125230	125230	TRUE	NAGATA	121767	121805	26	273621.844233	121784	***
TC_1093	LT934125.1	+	US7-8-9-2	1	121784	126151	121784	126151	121784	126151	121784	121784	126151	126151	TRUE	NAGATA	121767	121805	26	273621.844233	121784	***
TC_1093	LT934125.1	+	US7-8-9-2-AT1	1	121784	126191	121784	126191	121784	126191	121784	121784	126191	126191	TRUE	NAGATA	121767	121805	26	273621.844233	121784	***
TC_1095	LT934125.1	+	US7.3	1	121886	122915	121886	122915	121886	122915	121886	121886	122915	122915	TRUE	NAGATA	121876	121941	16	4123.011502	121901	***
TC_1099	LT934125.1	+	US7.3-S	1	122258	122915	122258	122915	122258	122915	122258	122258	122915	122915	TRUE	NAGATA	122234	122364	15	2254.711767	122289	***
TC_1101	LT934125.1	+	US7.3-S2	1	122463	122915	122463	122915	122463	122915	122463	122463	122915	122915	TRUE	NAGATA	122453	122481	5	253.588692	122464	**
TC_1103	LT934125.1	+	US7.1	1	122698	122915	122698	122915	122698	122915	122698	122698	122915	122915	TRUE	NAGATA	122565	122829	17	16536.441621	122644	***
TC_1103	LT934125.1	+	US8-L-US9	1	122698	125230	122698	125230	122698	125230	122698	122698	125230	125230	TRUE	NAGATA	122565	122829	17	16536.441621	122644	***
TC_1106	LT934125.1	+	US8-9	1	122979	125230	122979	125230	122979	125230	122979	122979	125230	125230	TRUE	NAGATA	122967	122998	25	189025.492182	122979	***
TC_1106	LT934125.1	+	US8-9-2	1	122979	126151	122979	126151	122979	126151	122979	122979	126151	126151	TRUE	NAGATA	122967	122998	25	189025.492182	122979	***
TC_1106	LT934125.1	+	US8-9-2-AT1	1	122979	126191	122979	126191	122979	126191	122979	122979	126191	126191	TRUE	NAGATA	122967	122998	25	189025.492182	122979	***
