seqnames	strand	gene_cluster	gene	Kinetic_class	C6_0.5h_1	C6_0.5h_2	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_2h_3	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	C6_dRNA	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_0.5h_3	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PC-12_8h_3	PC-12_dRNA	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3	PK-15_dRNA
LT934125.1	+	IE180_2	IE180_2	IE	0	0	5	1	6	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	3	2	3	1	0	1	0	0	0	1	3	9	5	10	1
LT934125.1	+	NOIR			0	0	415	301	155	0	0	0	0	5	0	10	9	3	26	28	33	118	213	158	42	0	0	0	0	0	0	0	0	0	0	0	0	1045	1018	700	1	1	5	2	1	3	3	1	6	58	77	61	125	298	257	231	361	23	159	1201	1432	2234	1	1	0	0	2	60	185	207	178	810	759	1141	1110	1375	1299	822
LT934125.1	+	NOIR	NOIR	E	0	0	74	51	22	0	0	0	1	0	0	0	0	0	10	8	5	20	27	20	14	0	0	0	0	0	0	0	0	0	0	0	0	175	207	103	0	0	1	2	0	1	1	0	2	7	12	7	16	76	23	31	83	3	85	269	248	213	0	0	0	1	1	6	23	30	24	107	97	246	297	295	295	587
LT934125.1	+	ORF-1			0	0	1570	1512	1034	11	15	10	19	21	4	44	28	22	99	171	132	476	497	375	134	3	5	4	10	7	9	1	1	0	13	4	7	1205	1150	933	14	9	12	26	13	22	30	30	38	140	132	152	375	674	494	545	693	68	342	685	849	975	4	6	6	89	55	167	326	336	257	783	776	819	859	873	913	1158
LT934125.1	+	ORF-1	ORF-1	E	0	0	198	157	87	0	0	0	1	1	0	6	9	0	15	24	22	29	34	27	1	0	0	0	0	0	1	0	0	0	0	0	0	203	283	121	0	1	0	0	1	2	0	1	3	18	18	18	43	102	68	47	143	4	1	274	424	137	0	0	0	1	0	4	9	8	6	62	37	74	168	198	117	10
LT934125.1	+	UL14-13-12-11			0	0	4074	4318	2495	11	20	16	27	40	2	31	25	23	114	187	173	981	1070	1024	424	4	2	8	17	14	12	2	0	1	0	5	5	2761	3090	2872	15	8	15	19	13	21	27	36	41	179	171	218	609	942	685	1214	1160	122	809	2761	3267	4979	7	3	2	27	35	97	478	543	358	1610	1487	1284	2218	2531	2858	3715
LT934125.1	+	UL14-13-12-11	UL11	L	0	0	1872	1732	697	3	5	3	16	19	3	14	21	6	99	157	144	366	512	377	61	4	2	1	7	4	12	0	1	0	6	8	6	1461	1839	1185	10	5	5	21	11	19	23	12	26	58	51	48	161	315	230	418	725	25	120	3427	3922	2471	4	7	2	25	12	86	311	284	209	1076	734	1237	2135	2692	2156	659
LT934125.1	+	UL14-13-12-11	UL12	L	0	0	136	150	113	2	2	1	6	3	0	5	5	2	32	23	34	46	28	31	1	0	0	0	0	0	0	0	0	0	3	0	1	48	23	24	1	1	2	0	0	1	3	4	3	3	2	3	6	9	16	18	53	5	1	34	36	21	0	0	0	2	3	1	9	10	5	16	14	50	82	54	58	5
LT934125.1	+	UL14-13-12-11	UL13	L	0	0	12	7	15	0	0	0	3	0	0	0	0	0	3	1	2	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	0	1	3	0	1	1	0	0	3	0	2	0	6	1	3	1	1	0	0	0	0	3	1	1	0	2	2	2	4	15	15	10	13	6
LT934125.1	+	UL14-13-12-11	UL14	L	0	0	42	47	50	1	1	0	1	0	0	0	0	1	6	7	13	17	10	7	1	0	0	0	0	0	0	0	0	0	0	0	0	10	5	5	0	0	0	0	0	0	0	1	3	0	1	2	6	9	3	1	11	0	3	24	18	12	0	0	0	0	0	1	4	2	5	12	13	41	64	30	23	11
LT934125.1	+	UL17-16			0	0	2353	2565	1295	2	8	3	5	12	1	11	15	8	58	70	73	472	410	458	167	0	2	1	3	3	4	0	0	0	1	2	3	1534	1813	1647	3	1	2	8	0	5	8	6	6	65	78	112	331	494	395	532	437	48	417	2190	2472	6296	0	1	1	7	5	51	304	306	232	1373	1178	732	1375	1290	1608	2190
LT934125.1	+	UL17-16	UL16	L	0	0	864	867	491	4	2	1	8	7	2	11	8	4	70	110	107	211	178	151	3	0	1	1	4	1	1	0	0	0	3	3	1	518	524	485	3	0	1	3	3	4	4	3	6	45	26	53	81	174	183	148	211	19	13	1809	2265	2581	0	0	0	6	3	26	182	172	126	645	542	646	989	863	980	72
LT934125.1	+	UL17-16	UL17	L	0	0	54	53	38	0	0	0	1	0	0	0	1	0	1	0	3	11	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	39	18	17	0	0	0	0	0	0	0	0	0	0	0	3	2	10	6	4	14	1	2	66	53	48	0	0	0	0	0	0	2	0	1	17	13	21	65	49	32	8
LT934125.1	+	UL20-19-18			0	0	4820	5089	2520	8	6	1	14	14	0	17	20	15	48	107	69	631	612	472	259	0	0	0	2	1	5	0	0	0	1	0	0	3131	3233	3078	6	1	4	7	4	4	10	9	13	105	91	134	440	536	490	722	759	98	647	2624	3363	5818	0	0	0	9	3	74	174	190	181	1137	998	588	1609	1303	1621	2188
LT934125.1	+	UL20-19-18	UL18	L	0	0	2314	2181	1131	6	10	2	9	23	1	26	25	15	103	140	113	294	256	225	3	0	1	3	1	0	0	0	0	0	2	1	4	1234	1509	1176	2	2	4	14	1	6	8	5	11	93	97	112	304	529	382	252	471	25	11	3234	4489	3317	2	1	0	4	2	52	142	124	109	711	625	655	1713	1290	1318	44
