seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	13258	16224	NOV_TX_267	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	40	0	0	0	5	0
LT934125.1	+	13454	16224	NOV_TX_274	0	43	0	0	0	1	2	20	0	0	0	0	5	1	0	0	13	0	0	0	0	3	4	2	0	0	1	1	7	19
LT934125.1	+	13539	16224	NOV_TX_277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0
LT934125.1	+	13634	16224	NOV_TX_281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	3	2
LT934125.1	+	13698	16224	NOV_TX_284	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	16	0	0	1	1	6
LT934125.1	+	13858	16224	NOV_TX_290	0	19	0	0	0	1	0	9	0	0	0	0	4	0	0	0	21	0	0	0	0	0	4	0	37	0	0	0	4	7
LT934125.1	+	13901	16224	NOV_TX_291	1	26	0	0	0	1	4	19	0	0	0	0	9	1	0	0	18	0	0	0	0	2	3	7	47	0	0	2	2	16
LT934125.1	+	13944	16224	NOV_TX_293	1	13	0	0	0	2	2	13	0	0	0	0	2	0	0	0	15	0	0	0	0	0	2	6	61	0	0	2	2	16
LT934125.1	+	13983	16224	NOV_TX_294	0	40	0	0	0	1	7	7	0	0	0	0	3	1	0	0	19	0	0	1	2	0	3	3	87	0	1	2	4	20
LT934125.1	+	14048	15554	NOV_TX_298	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0
LT934125.1	+	14048	15612	NOV_TX_297	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
LT934125.1	+	14048	15744	NOV_TX_296	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	6
LT934125.1	+	14048	16224	NOV_TX_295	3	3326	14	6	37	268	439	894	1	2	18	66	229	9	1	4	1009	4	3	19	52	216	292	41	3337	4	44	179	964	2520
LT934125.1	+	14107	16224	NOV_TX_299	0	0	0	0	0	0	49	71	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	144
LT934125.1	+	14142	16224	NOV_TX_300	1	335	1	1	2	8	0	0	0	0	0	9	21	2	0	0	150	0	0	0	1	0	33	13	379	0	2	29	59	0
LT934125.1	+	14210	16224	NOV_TX_302	0	56	0	0	0	2	0	11	0	0	1	0	4	0	0	0	25	0	0	0	1	4	11	3	13	0	1	0	2	10
LT934125.1	+	14267	16224	NOV_TX_305	0	8	0	0	0	1	0	3	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	1	24	0	0	3	3	5
LT934125.1	+	14279	16224	NOV_TX_306	0	31	0	0	1	1	2	8	0	1	0	0	3	0	0	0	36	0	0	0	0	4	14	1	35	0	1	0	4	12
LT934125.1	+	14338	16224	NOV_TX_309	0	36	0	0	0	0	0	7	0	0	0	1	0	1	0	0	15	0	0	1	0	3	3	9	0	0	0	1	0	10
LT934125.1	+	14402	16224	NOV_TX_313	0	128	0	0	0	2	0	3	0	0	0	0	11	1	0	0	94	0	0	0	0	18	43	4	1	0	0	1	0	1
LT934125.1	+	14605	16224	NOV_TX_320	0	66	0	1	0	0	0	0	0	0	0	0	0	2	0	0	43	1	0	0	0	0	0	16	72	0	1	2	0	0
LT934125.1	+	14670	16224	NOV_TX_324	3	262	3	0	8	0	0	0	0	2	0	0	0	5	0	0	0	0	0	1	0	42	104	30	0	0	4	0	0	0
LT934125.1	+	14743	16224	NOV_TX_327	1	96	0	1	0	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0
LT934125.1	+	14818	16224	NOV_TX_329	1	102	0	0	0	2	4	13	0	0	0	0	2	1	0	1	112	0	0	0	2	4	4	9	860	0	1	4	153	20
LT934125.1	+	14910	16224	NOV_TX_331	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	42	0	0	0	0	0	0	165
LT934125.1	+	14930	16224	NOV_TX_332	1	229	0	0	0	4	0	76	0	0	3	6	36	7	0	0	118	0	0	0	0	0	0	15	416	1	2	18	62	0
LT934125.1	+	14952	16224	NOV_TX_333	1	55	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	11	0	0	7	131	0	0	0	18	0
LT934125.1	+	14969	16224	NOV_TX_334	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
LT934125.1	+	15028	16224	NOV_TX_335	0	136	0	0	0	0	76	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	15117	16224	NOV_TX_339	1	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0
LT934125.1	+	15153	16224	NOV_TX_341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0
LT934125.1	+	15178	16224	NOV_TX_342	4	388	0	0	1	0	0	0	1	2	0	0	0	7	0	0	386	0	1	0	6	0	108	28	1012	0	0	17	170	358
LT934125.1	+	15249	16224	NOV_TX_345	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	2	0	0	0	51	0	0	0	0	11	0	200
LT934125.1	+	15318	16224	NOV_TX_349	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
LT934125.1	+	15384	16224	NOV_TX_352	3	425	0	0	1	3	22	23	0	0	0	3	12	5	0	0	185	1	0	0	3	47	15	24	341	0	0	5	13	45
LT934125.1	+	15531	16224	NOV_TX_358	32	518	1	0	0	8	51	84	0	0	2	14	26	117	0	0	514	0	0	1	19	46	64	517	1281	0	9	0	171	353
LT934125.1	+	15552	16224	NOV_TX_359	0	0	0	0	2	0	0	132	0	0	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	15646	16224	NOV_TX_363	25	0	0	0	2	0	0	0	0	1	3	0	0	99	1	0	575	1	1	7	14	0	367	465	1283	0	0	132	0	0
LT934125.1	+	15696	16224	NOV_TX_366	11	371	0	0	0	0	0	0	0	1	3	0	0	43	0	0	611	1	1	0	14	0	0	188	1062	0	0	0	0	0
LT934125.1	+	15750	16224	NOV_TX_369	0	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	1860
LT934125.1	+	15787	16224	NOV_TX_371	12	0	0	0	0	0	0	891	0	1	3	0	0	46	0	0	0	0	1	0	16	0	0	280	1798	0	0	0	0	0
