seqnames	strand	start	end	TSS	TES	NOV_TX_ID	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	14930	16224	14930	16224	NOV_TX_90	129	0	0	0	0	13	28	0	0	0	0	13	0	90	0	0	0	0	11	20	211	0	0	6	0	54
LT934125.1	+	15121	16224	15121	16224	NOV_TX_91	169	0	0	0	5	8	40	0	0	0	0	0	0	70	0	0	0	0	0	40	377	0	0	0	51	119
LT934125.1	+	15272	16224	15272	16224	NOV_TX_92	116	0	0	0	0	8	52	0	0	0	0	10	0	121	0	0	0	0	15	11	243	0	0	7	31	49
LT934125.1	+	15348	16224	15348	16224	NOV_TX_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	12	0	0
LT934125.1	+	15418	16224	15418	16224	NOV_TX_94	246	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	25	13	231	0	0	0	27	68
LT934125.1	+	15477	16224	15477	16224	NOV_TX_95	0	0	0	0	0	0	0	0	0	0	0	17	0	335	0	0	0	0	17	0	0	0	0	18	0	0
LT934125.1	+	15536	16224	15536	16224	NOV_TX_96	0	0	0	0	0	0	48	0	0	0	9	6	0	0	0	0	0	11	0	0	409	0	0	0	49	100
LT934125.1	+	15674	16224	15674	16224	NOV_TX_97	195	0	0	0	9	30	103	0	0	0	0	11	0	218	0	0	0	6	150	54	552	0	13	20	49	124
LT934125.1	+	15849	16224	15849	16224	NOV_TX_98	438	0	0	0	0	0	166	0	0	0	8	25	0	594	0	0	0	13	22	89	811	0	0	23	0	280
LT934125.1	+	15951	16224	15951	16224	NOV_TX_99	371	0	0	0	0	54	111	0	0	0	17	17	0	688	0	0	0	0	0	68	701	0	0	17	0	465
LT934125.1	+	16039	16224	16039	16224	NOV_TX_100	714	0	0	0	13	112	122	0	0	0	7	0	0	2189	0	0	0	0	78	120	1356	0	11	29	198	502
LT934125.1	+	27557	28632	27557	28632	NOV_TX_108	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
LT934125.1	+	27826	28632	27826	28632	NOV_TX_110	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6
LT934125.1	+	28507	28632	28507	28632	NOV_TX_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	21	0	0	0	12	10	0
LT934125.1	+	29468	32415	29468	32415	NOV_TX_115	8	0	0	0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	0	6
LT934125.1	+	30240	32415	30240	32415	NOV_TX_117	81	0	0	0	15	24	59	0	0	0	0	14	0	36	0	0	0	0	6	18	88	0	0	0	24	39
