seqnames,strand,transcript_id,start,end,prime5,prime3,exon_number,exon_count,start.transcript,end.transcript
LT934125.1,+,10146,73155,75650,73155,75650,1,1,73155,75650
LT934125.1,+,10148,118872,120474,118872,120474,1,1,118872,120474
LT934125.1,+,10149,120263,120477,120263,120477,1,1,120263,120477
LT934125.1,+,10151,52160,52434,52160,52434,1,1,52160,52434
LT934125.1,+,10156,70555,71537,70555,71537,1,1,70555,71537
LT934125.1,+,10158,32202,32415,32202,32415,1,1,32202,32415
LT934125.1,+,10159,124779,126133,124779,126133,1,1,124779,126133
LT934125.1,+,1016,125239,126135,125239,126135,1,1,125239,126135
LT934125.1,+,10160,123597,125230,123597,125230,1,1,123597,125230
LT934125.1,+,10161,119669,120472,119669,120472,1,1,119669,120472
LT934125.1,+,10162,45896,49647,45896,49647,1,1,45896,49647
LT934125.1,+,10165,119483,120477,119483,120477,1,1,119483,120477
LT934125.1,+,10166,79455,79988,79455,79988,1,1,79455,79988
LT934125.1,+,10169,88899,91551,88899,91551,1,1,88899,91551
LT934125.1,+,1017,123704,125230,123704,125230,1,1,123704,125230
LT934125.1,+,10171,124408,125185,124408,125185,1,1,124408,125185
LT934125.1,+,10172,125239,125689,125239,125689,1,1,125239,125689
LT934125.1,+,10173,9672,10413,9672,10413,1,1,9672,10413
LT934125.1,+,10174,15525,16223,15525,16223,1,1,15525,16223
LT934125.1,+,10177,72801,75651,72801,75651,1,1,72801,75651
LT934125.1,+,10178,30274,32415,30274,32415,1,1,30274,32415
LT934125.1,+,10179,68349,71544,68349,71544,1,1,68349,71544
LT934125.1,+,1018,51250,52439,51250,52439,1,1,51250,52439
LT934125.1,+,10180,2029,2273,2029,2273,1,1,2029,2273
LT934125.1,+,10181,119648,120464,119648,120464,1,1,119648,120464
LT934125.1,+,10182,44842,46026,44842,46026,1,1,44842,46026
LT934125.1,+,10183,91553,92059,91553,92059,1,1,91553,92059
LT934125.1,+,10184,122184,122915,122184,122915,1,1,122184,122915
LT934125.1,+,10185,1840,2275,1840,2275,1,1,1840,2275
LT934125.1,+,10188,44825,46037,44825,46037,1,1,44825,46037
LT934125.1,+,10189,15640,16224,15640,16224,1,1,15640,16224
LT934125.1,+,1019,72772,75650,72772,75650,1,1,72772,75650
LT934125.1,+,10190,60253,62336,60253,62336,1,1,60253,62336
LT934125.1,+,10192,48814,49647,48814,49647,1,1,48814,49647
LT934125.1,+,10193,124161,125230,124161,125230,1,1,124161,125230
LT934125.1,+,10194,53723,55158,53723,55158,1,1,53723,55158
