gene	cluster	si	au	bp	se.si	se.au	se.bp	v	c	pchi	neighbor	sil_width	gene_order	gene_to_centroid_dist	scaled_dist
UL20-19-18	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	0.405074782428369	2	0.106397195035819	0.392588251983938
UL21	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.00260588435714375	10	0.0878492459507725	0.324149352756058
UL23-22	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.265293449291739	8	0.0717068521400173	0.264586559142305
UL24-25-26-26.5	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	6	0.255004205154102	4	0.157730488817174	0.581999712195982
UL29-28-27	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	-0.348679003156516	10	0.0621035305471177	0.229151872766157
UL30	4	0.877626361458554	0.964823887025011	0.754250840115974	0.0165428878967458	0.00629411322091746	0.00472049783336136	-1.2487819321339	0.56085424444576	0.227987686079736	11	0.215084290617929	1	0.186074777536205	0.686585502809974
UL32-31	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	6	0.246613679741576	5	0.0473458972351715	0.174698618961802
UL33-34-35	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	0.160383080399743	8	0.188667580825957	0.696152522983008
UL37-36	9	0.802699361719356	0.970587674907268	0.424134407863735	0.0243232132390287	0.00534668587191358	0.00528187855756179	-0.849086915464794	1.04041467258539	0.250594970562637	7	0	1	0	0
UL38-39-40	7	0.856103089593535	0.981759838631387	0.4238069524754	0.0195880225753033	0.00362548003514064	0.00528751761636427	-0.949684539530708	1.14184833426917	0.903204200337401	11	0.482363241618028	2	0.0962822713512046	0.355265837544752
UL41	10	0.331945117989678	0.766567020761556	0.481585064631248	0.0415335518242832	0.0231948511073099	0.00530976935614142	-0.340705993002424	0.386881794803072	0.206531832043464	1	0	1	0	0
UL42-43-44	8	0.382767240775645	0.774890672373287	0.525213157159006	0.0398945479428968	0.022657824645906	0.00531343619842018	-0.409146344520374	0.3459042002877	0.960584829281691	2	0.789044531327966	1	0.029094408376907	0.107353609494606
UL48-47-46	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	8	0.389060254748018	3	0.0746210190832556	0.27533935864844
UL49.5-49	2	0.987809437295932	0.998069560599766	0.81241450076979	0.00260282740464415	0.000524928359898819	0.00440633661392973	-1.88806962508947	1.00124067458741	0.161970505074921	6	0.214259246208825	7	0.0665556565729853	0.245579489805489
UL5-4	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.46975412550175	1	0.086092231460339	0.31766625658724
UL50	11	0.471360141044941	0.911398984518966	0.281648758637099	0.0497812338976886	0.0136887244117729	0.00475539738758037	-0.385734841881717	0.963685374360225	0.855631277025383	7	0.312247869474445	2	0.0108048361920649	0.039868078779591
UL51	12	0.320103277779347	0.92153848534497	0.163275833897265	0.070601713652516	0.014346048592409	0.00390110104197118	-0.217206508175099	1.19828980263946	0.0148785025153398	7	0	1	0	0
UL52-53-54	7	0.856103089593535	0.981759838631387	0.4238069524754	0.0195880225753033	0.00362548003514064	0.00528751761636427	-0.949684539530708	1.14184833426917	0.903204200337401	11	0.35191561188676	4	0.0579114032633729	0.213683608571171
UL7-6	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.348323539666251	4	0.0973055318827831	0.359041501586284
UL9-8	11	0.471360141044941	0.911398984518966	0.281648758637099	0.0497812338976886	0.0136887244117729	0.00475539738758037	-0.385734841881717	0.963685374360225	0.855631277025383	7	0.433264880113398	1	0.0108048361920649	0.039868078779591
US1	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	12	0.397899581022554	3	0.212207085685332	0.78300944681637
US3-4	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	-0.0145802852358115	11	0.271014719615635	1
US6-7	6	0.41252453395076	0.802440122548168	0.502046118274065	0.0402603039670602	0.0210792149321384	0.00531756331206962	-0.427749129723917	0.422620249318773	5.8835593832681e-05	2	0.0559929065999993	9	0.0181978222360449	0.067146988406585
US8-9-2	7	0.856103089593535	0.981759838631387	0.4238069524754	0.0195880225753033	0.00362548003514064	0.00528751761636427	-0.949684539530708	1.14184833426917	0.903204200337401	6	0.448382968443353	3	0.0493457181809117	0.182077631247838
