gene	Kinetic_class	cluster	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
UL14-13-12-11	L		0.0397029048753708	0.0518850377166116	0.0650550942190993	0.0390953001055717	0.0515503204224157	0.0547416734088462	0.0741359885508967	0.0679077292845209	0.0844827586206897	0.0572120430433848	0.03181553007124	0.0555749056037239	0.0584792889825381	0.0570871101482161	0.0386159430593891	0.0374358098983334	0.0399331120973673	0.0265961627100216	0.0275626198014258	0.0263936085145103	0.04976036127604	0.0374181085855097	0.037140745867264
UL15	L	cluster_6	0.00322421199276553	0	0.0028970183698911	0.00393238048788914	0.00256505652288158	0.00342128115202549	0.00374531835205993	0.000764525993883792	0	0.00493879847754891	0.00271213469888326	0.000768049155145929	0.00359431286481517	0.00192097052575677	0.00228234572164931	0.00340381770815462	0.00351081208776284	0.00126664166798564	0	0.00178394867713129	0.00254703217695042	0.0022343126222566	0.00257845354142602
UL17-16	L		0.0216071028709531	0.0148982133952508	0.0185489022367377	0.0166767989084016	0.025585935622906	0.0233987856068052	0.0155374887082204	0.0166107023868843	0	0.0214053589266973	0.0158242822518346	0.00838520812640843	0.0117501319488703	0.0103124396514266	0.0198467961996769	0.0209338049654266	0.0150648451998057	0.0220716582366919	0.00298701298701299	0.00710215429296121	0.029735147474121	0.0256000341598659	0.0180234592860901
UL20-19-18	L		0.0452958114990723	0.0226921813015487	0.0347210774667477	0.0354340787125366	0.0303493192240864	0.0305425560442585	0.0138211382113821	0.00835085148166603	0	0.0129528470088388	0.0320547051824568	0.0166115749693895	0.0185539817233599	0.0172780480052785	0.0330368930234868	0.0338819099342131	0.0245047735784594	0.0287875971171131	0.00274062587495423	0.00899858962060367	0.020795195221971	0.0234219330910345	0.0221616162369502
UL21	L	cluster_6	0.00810300500521625	0.0133995018802637	0.00911282595481192	0.0106395199993061	0.00822734224689719	0.00956693641537098	0.00645534545233093	0.00805041474924525	0	0.007004033736707	0.00874103638836031	0.00749447334017019	0.0117166767430013	0.00987818137562561	0.0175307579683041	0.0154074802039821	0.010725581711485	0.00547662266075312	0.00191143847860266	0.00331383877869942	0.00734739010564799	0.00806730299224893	0.0056659758490774
UL23-22	L		0.0102027010923311	0.00793059320244026	0.0150330719856585	0.0111900283843438	0.0083126810419134	0.00861337714796387	0	0.00918802942814433	0	0.00924914330513511	0.00989942623554333	0.0162345393516392	0.00857343228685068	0.0129166063180933	0.0116249438529974	0.00951221548010525	0.0118149673337229	0.004105914251071	0.0019047619047619	0.00639941686306555	0.00674419463672717	0.00617085576289362	0.00693431151016903
UL24-25-26-26.5	L		0.106186474569868	0.0823465913346599	0.100508958283966	0.0733961748792198	0.065660320860777	0.0642025810869125	0.0251403225642743	0.0540141083135485	0.0844827586206897	0.0430007081167887	0.0618858010739221	0.0461169240090894	0.0594371915981744	0.0660277512914595	0.0625365172098479	0.0641114757421204	0.0583854179212096	0.06935274526043	0.028062070599384	0.0683376411248407	0.0589972481330123	0.0612532720149428	0.063083628094421
UL29-28-27	E/L		0.0298646886247529	0.0213941482064788	0.0202082968442526	0.0319003997321149	0.0281967050272352	0.024500684626322	0.0182891304568476	0.0124418520581137	0	0.0135813006588015	0.0269866303557168	0.0189568772823344	0.0216086231335484	0.0243397111717279	0.0194714861205918	0.0193082392670429	0.0301057871290812	0.0290276821064203	0.0049051280394564	0.013426434632748	0.0132255110111315	0.0182631996831077	0.0313113826705541
UL30	E	cluster_4	0.000560165099532363	0.0060907992250871	0.00227820648870298	0.00099373956979135	0.00101510497131815	0.000938400209814532	0	0.00335854070795596	0	0.00308694662569705	0.00048541580923383	0.00738998591246627	0.00135135135135135	0.00477809829575629	0.000680399362633886	0.000971282859848634	0.00124909212165152	0.000109393059796554	0.00191143847860266	0.00544360436477272	0.000876448877033917	0.000518937835390081	0.000597589210324786
UL32-31	L		0.0285619671970287	0.0111927477761066	0.0206023789163516	0.0392936461263463	0.0375992476751345	0.0323206902268694	0.0128690762563056	0.0206107023868843	0	0.0199685773175019	0.0406931856673652	0.00719896850600511	0.0220826200928653	0.0164379455736333	0.0303785647677181	0.029162948025004	0.0433344240107417	0.0346031625963077	0.000829187396351576	0.0114018480360269	0.0333025366447607	0.0357990755706469	0.0401992513271622
