gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL49	L	1.5h	1.5	PC_12	PC_12_1.5h	24390.243902			cluster_3
UL49	L	12h	12	PC_12	PC_12_12h	45707.746374			cluster_3
UL49	L	1h	1	PC_12	PC_12_1h	23628.048781			cluster_3
UL49	L	2.5h	2.5	PC_12	PC_12_2.5h	36175.710593			cluster_3
UL49	L	2h	2	PC_12	PC_12_2h	25620.915029			cluster_3
UL49	L	4h	4	PC_12	PC_12_4h	34899.881609			cluster_3
UL49	L	6h	6	PC_12	PC_12_6h	34950.61048			cluster_3
UL49	L	8h	8	PC_12	PC_12_8h	38973.210204			cluster_3
UL49	L	12h	12	PK_15	PK_15_12h	56505.8712			cluster_3
UL49	L	1h	1	PK_15	PK_15_1h	14970.05988			cluster_3
UL49	L	2h	2	PK_15	PK_15_2h	42928.228052			cluster_3
UL49	L	4h	4	PK_15	PK_15_4h	40710.246177			cluster_3
UL49	L	6h	6	PK_15	PK_15_6h	34150.194446			cluster_3
UL49	L	8h	8	PK_15	PK_15_8h	38816.037276			cluster_3
UL48	L	12h	12	C6	C6_12h	0			cluster_4
UL48	L	1h	1	C6	C6_1h	0			cluster_4
UL48	L	2h	2	C6	C6_2h	0			cluster_4
UL48	L	4h	4	C6	C6_4h	0			cluster_4
UL48	L	6h	6	C6	C6_6h	0			cluster_4
UL48	L	8h	8	C6	C6_8h	61.007602			cluster_4
UL48	L	12h	12	NRK	NRK_12h	0			cluster_4
UL48	L	1h	1	NRK	NRK_1h	0			cluster_4
UL48	L	2h	2	NRK	NRK_2h	0			cluster_4
UL48	L	4h	4	NRK	NRK_4h	0			cluster_4
UL48	L	6h	6	NRK	NRK_6h	0			cluster_4
UL48	L	8h	8	NRK	NRK_8h	0			cluster_4
UL48	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_4
UL48	L	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_4
UL48	L	12h	12	PC_12	PC_12_12h	0			cluster_4
UL48	L	1h	1	PC_12	PC_12_1h	0			cluster_4
UL48	L	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_4
UL48	L	2h	2	PC_12	PC_12_2h	0			cluster_4
UL48	L	4h	4	PC_12	PC_12_4h	0			cluster_4
UL48	L	6h	6	PC_12	PC_12_6h	0			cluster_4
UL48	L	8h	8	PC_12	PC_12_8h	22.858188			cluster_4
UL48	L	12h	12	PK_15	PK_15_12h	0			cluster_4
UL48	L	1h	1	PK_15	PK_15_1h	0			cluster_4
UL48	L	2h	2	PK_15	PK_15_2h	84.338366			cluster_4
