gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	y	ymin	ymax
UL47	L	4h	4	PK-15	9.64785335262904e-05	0.000167105721907272	1.73205080756888	9.64785335262904e-05	1.35525271560688e-20	0.000192957067052581
UL47	L	6h	6	C6	0	0		0	0	0
UL47	L	6h	6	PC-12	0.000101585421045909	9.4173261436925e-05	0.927035203155441	0.000101585421045909	4.72144632048351e-05	0.000155956378886982
UL47	L	6h	6	PK-15	0.000283285034176303	0.000155625737600867	0.549360957430645	0.000283285034176303	0.000193434472679608	0.000373135595672997
UL47	L	8h	8	C6	0.000198453122252879	0.000172071163087272	0.867062010080198	0.000198453122252879	9.910778992467e-05	0.000297798454581087
UL47	L	8h	8	PC-12	9.26869960144592e-05	0.000131079206819269	1.4142135623731	9.26869960144592e-05	0	0.000185373992028918
UL47	L	8h	8	PK-15	0.00030909041390621	3.82535586418073e-05	0.123761711527602	0.00030909041390621	0.000287004711526901	0.000331176116285518
UL47	L			C6	0			0		
UL47	L			PC-12	0			0		
UL47	L			PK-15	0			0		
UL46	L	0.5h	0.5	C6				0		
UL46	L	0.5h	0.5	PC-12	0	0		0	0	0
UL46	L	1.5h	1.5	PC-12	0.00849478390461997	0.00821296317940677	0.966824261996832	0.00849478390461997	0.00375302740214499	0.013236540407095
UL46	L	12h	12	C6	0.0265876688537337	0.00977579167254465	0.367681413753272	0.0265876688537337	0.0209436129000484	0.0322317248074191
UL46	L	12h	12	PC-12	0.00500936033401393	0.00142580094054331	0.284627346701737	0.00500936033401393	0.00418617377718043	0.00583254689084743
UL46	L	12h	12	PK-15	0.00615663130245277	0.000592856959226405	0.0962956737380415	0.00615663130245277	0.00581434517745246	0.00649891742745308
UL46	L	1h	1	C6	0.00505050505050505	0.00874773135135797	1.73205080756888	0.00505050505050505	8.67361737988404e-19	0.0101010101010101
UL46	L	1h	1	NRK	0.00833333333333333	0.0144337567297406	1.73205080756888	0.00833333333333333	0	0.0166666666666667
UL46	L	1h	1	PC-12	0.00292397660818713	0.00506447604552303	1.73205080756888	0.00292397660818713	0	0.00584795321637427
UL46	L	1h	1	PK-15	0	0		0	0	0
UL46	L	2.5h	2.5	PC-12	0.000754147812971343	0.00130622232848332	1.73205080756888	0.000754147812971343	0	0.00150829562594269
UL46	L	2h	2	C6	0.00252525252525253	0.00357124636962903	1.4142135623731	0.00252525252525253	0	0.00505050505050505
UL46	L	2h	2	NRK	0.0040650406504065	0.0070408569413369	1.73205080756888	0.0040650406504065	8.67361737988404e-19	0.00813008130081301
UL46	L	2h	2	PC-12	0.00653620521549638	0.00445541723489998	0.681651981234746	0.00653620521549638	0.00396386887557477	0.00910854155541798
UL46	L	2h	2	PK-15	0.0104363373765693	0.00697196907230658	0.668047497962206	0.0104363373765693	0.00641106915589137	0.0144616055972473
UL46	L	4h	4	C6	0.0157366187412527	0.0104108516095149	0.661568522482113	0.0157366187412527	0.00972591076200603	0.0217473267204994
UL46	L	4h	4	PC-12	0.00608275984853235	0.00217737186671216	0.357957887690982	0.00608275984853235	0.00482565361516017	0.00733986608190453
UL46	L	4h	4	PK-15	0.0100389034395631	0.00342570812525825	0.341243258876026	0.0100389034395631	0.00806106993128016	0.012016736947846
UL46	L	6h	6	C6	0.0202367730174354	0.00550908363361948	0.272231330008644	0.0202367730174354	0.0170561020985771	0.0234174439362938
UL46	L	6h	6	PC-12	0.00654922557291634	0.000869613498506749	0.132781118748291	0.00654922557291634	0.00604715398546253	0.00705129716037014
UL46	L	6h	6	PK-15	0.00907427592839777	0.000823567637318067	0.0907584961948014	0.00907427592839777	0.00859878893129632	0.00954976292549922
UL46	L	8h	8	C6	0.0138443121515015	0.00577416307385032	0.417078364794315	0.0138443121515015	0.0105105975464692	0.0171780267565338
UL46	L	8h	8	PC-12	0.00414449331059446	0.000692761691956202	0.167152324793314	0.00414449331059446	0.00365463682046597	0.00463434980072296
UL46	L	8h	8	PK-15	0.00939974816044834	0.00396205932168635	0.421506965299097	0.00939974816044834	0.00711225214452746	0.0116872441763692
UL46	L			C6	0			0		
UL46	L			PC-12	0			0		
UL46	L			PK-15	0			0		
UL27	L	0.5h	0.5	C6				0		
UL27	L	0.5h	0.5	PC-12	0	0		0	0	0
UL27	L	1.5h	1.5	PC-12	0.00546448087431694	0.00946475851130534	1.73205080756888	0.00546448087431694	0	0.0109289617486339
UL27	L	12h	12	C6	0.00477649514875216	0.00226740259249189	0.474700072308091	0.00477649514875216	0.00346740965161571	0.00608558064588861
UL27	L	12h	12	PC-12	0.0021679880777224	0.0013439255262523	0.619895256833778	0.0021679880777224	0.00139207231336983	0.00294390384207497
