gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method
UL53	L	8h	8	PK_15	PK_15_8h	LT934125.1	-	1	PK_15_8h	394.738573	394.738573			dcDNA	PK_15_8h	WO
UL52	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL52	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	WO
UL52	E	12h	12	C6	C6_12h	LT934125.1	-	1	C6_12h	83.922539	83.922539			dcDNA	C6_12h	WO
UL52	E	12h	12	PC_12	PC_12_12h	LT934125.1	-	1	PC_12_12h	34.128062	34.128062			dcDNA	PC_12_12h	WO
UL52	E	12h	12	PK_15	PK_15_12h	LT934125.1	-	1	PK_15_12h	0	0			dcDNA	PK_15_12h	WO
UL52	E	1h	1	C6	C6_1h	LT934125.1	-	1	C6_1h	0	0			dcDNA	C6_1h	WO
UL52	E	1h	1	NRK	NRK_1h	LT934125.1	-	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL52	E	1h	1	PC_12	PC_12_1h	LT934125.1	-	1	PC_12_1h	0	0			dcDNA	PC_12_1h	WO
UL52	E	1h	1	PK_15	PK_15_1h	LT934125.1	-	1	PK_15_1h	2923.976608	2923.976608			dcDNA	PK_15_1h	WO
UL52	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1	PC_12_2.5h	0	0			dcDNA	PC_12_2.5h	WO
UL52	E	2h	2	C6	C6_2h	LT934125.1	-	1	C6_2h	1239.157373	1239.157373			dcDNA	C6_2h	WO
UL52	E	2h	2	NRK	NRK_2h	LT934125.1	-	1	NRK_2h	0	0			dcDNA	NRK_2h	WO
UL52	E	2h	2	PC_12	PC_12_2h	LT934125.1	-	1	PC_12_2h	0	0			dcDNA	PC_12_2h	WO
UL52	E	2h	2	PK_15	PK_15_2h	LT934125.1	-	1	PK_15_2h	362.056481	362.056481			dcDNA	PK_15_2h	WO
UL52	E	4h	4	C6	C6_4h	LT934125.1	-	1	C6_4h	0	0			dcDNA	C6_4h	WO
UL52	E	4h	4	PC_12	PC_12_4h	LT934125.1	-	1	PC_12_4h	0	0			dcDNA	PC_12_4h	WO
UL52	E	4h	4	PK_15	PK_15_4h	LT934125.1	-	1	PK_15_4h	121.782902	121.782902			dcDNA	PK_15_4h	WO
UL52	E	6h	6	C6	C6_6h	LT934125.1	-	1	C6_6h	86.244071	86.244071			dcDNA	C6_6h	WO
UL52	E	6h	6	PC_12	PC_12_6h	LT934125.1	-	1	PC_12_6h	53.302063	53.302063			dcDNA	PC_12_6h	WO
UL52	E	6h	6	PK_15	PK_15_6h	LT934125.1	-	1	PK_15_6h	24.193743	24.193743			dcDNA	PK_15_6h	WO
UL52	E	8h	8	C6	C6_8h	LT934125.1	-	1	C6_8h	32.2841	32.2841			dcDNA	C6_8h	WO
UL52	E	8h	8	PC_12	PC_12_8h	LT934125.1	-	1	PC_12_8h	159.785249	159.785249			dcDNA	PC_12_8h	WO
UL52	E	8h	8	PK_15	PK_15_8h	LT934125.1	-	1	PK_15_8h	48.245826	48.245826			dcDNA	PK_15_8h	WO
UL51	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	WO
UL51	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1	PC_12_1.5h	4424.778761	4424.778761			dcDNA	PC_12_1.5h	WO
UL51	L	12h	12	C6	C6_12h	LT934125.1	+	1	C6_12h	2657.547083	2657.547083			dcDNA	C6_12h	WO
UL51	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1	PC_12_12h	1638.146983	1638.146983			dcDNA	PC_12_12h	WO
UL51	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1	PK_15_12h	718.53547	718.53547			dcDNA	PK_15_12h	WO
UL51	L	1h	1	C6	C6_1h	LT934125.1	+	1	C6_1h	0	0			dcDNA	C6_1h	WO
UL51	L	1h	1	NRK	NRK_1h	LT934125.1	+	1	NRK_1h	0	0			dcDNA	NRK_1h	WO
UL51	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1	PC_12_1h	4454.342984	4454.342984			dcDNA	PC_12_1h	WO
UL51	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	1	PK_15_1h	2923.976608	2923.976608			dcDNA	PK_15_1h	WO
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1	PC_12_2.5h	1480.3849	1480.3849			dcDNA	PC_12_2.5h	WO
UL51	L	2h	2	C6	C6_2h	LT934125.1	+	1	C6_2h	3717.472119	3717.472119			dcDNA	C6_2h	WO
UL51	L	2h	2	NRK	NRK_2h	LT934125.1	+	1	NRK_2h	3236.245955	3236.245955			dcDNA	NRK_2h	WO
UL51	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1	PC_12_2h	4669.779853	4669.779853			dcDNA	PC_12_2h	WO
UL51	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1	PK_15_2h	2172.338885	2172.338885			dcDNA	PK_15_2h	WO
UL51	L	4h	4	C6	C6_4h	LT934125.1	+	1	C6_4h	4729.374672	4729.374672			dcDNA	C6_4h	WO
