gene	Kinetic_class	cluster	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	NRK_12h_1	NRK_12h_2	NRK_12h_3	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	NRK_4h_1	NRK_4h_2	NRK_4h_3	NRK_6h_1	NRK_6h_2	NRK_6h_3	NRK_8h_1	NRK_8h_2	NRK_8h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3
UL46	L	cluster_4	0.0202582763823556	0.0252760611893425	0.0395685104429654	0.0113636363636364	0.0409356725146199	0.0266666666666667	0	0.0142045454545455	0.0280898876404494	0.0310786106032907	0.0116279069767442	0.0251141552511416	0.0236686390532544	0.0364077669902913	0.0221686746987952	0.0132542727589815	0.0123004832332699	0.00330806340454859	0.00815424893640231	0.00806475971848854	0.05	0.0769230769230769	0	0	0	0.0116279069767442	0.00882352941176471	0.0116279069767442	0.0132013201320132	0.00844594594594595	0.00635256749602965	0.0112137203166227	0.00948316737790422	0.0130177514792899	0.011568718186025	0	0	0.0212765957446809	0.0126582278481013	0	0.00697757633587786	0.00656189996830901	0.00719616204690832	0.0212765957446809	0	0	0	0.00657894736842105	0.00510204081632653	0.00647249190938511	0.0154440154440154	0.0136239782016349	0.0185424752048297	0.0133272058823529	0.0268041237113402	0.0205278592375367	0.0164738871363477	0.0187609524791259	0.00538124771981029	0.00952220443245976	0.00782960706523056	0.00796594175865172	0.00863775570633323	0	0	0	0.032258064516129	0.013986013986014	0.00831946755407654	0.0151141270820481	0.00978326309452137	0.0118021730985388	0.0101864427707124	0.0119504908237303	0.0101280029929719	0.0154542027892951	0.00966995339399512	0.00723617432304116
UL27	L	cluster_6	0.00923049613916748	0.00653429237159356	0.010741335781501	0.00568181818181818	0.0233918128654971	0.0266666666666667	0.00523560209424084	0.00568181818181818	0.0187265917602996	0.0255941499085923	0.0116279069767442	0.0187214611872146	0.0142011834319527	0.0187239944521498	0.00614457831325301	0.00639460527845599	0.00380729242934544	0.00172294968986906	0.00676339042216647	0.00821578518138158	0	0	0.0714285714285714	0.0303030303030303	0	0.0232558139534884	0.00588235294117647	0.00581395348837209	0.0033003300330033	0.00337837837837838	0.00688194812069878	0.00857519788918206	0.00900900900900901	0.00355029585798817	0.00601573345673299	0	0	0.0212765957446809	0	0	0.0083194179389313	0.0115392502283616	0.00599680170575693	0.0106382978723404	0.0161290322580645	0	0	0.00657894736842105	0.00255102040816327	0.00970873786407767	0.00772200772200772	0.00817438692098093	0.01250539025442	0.00873161764705882	0.00989690721649484	0.00912349299446074	0.0077111812127585	0.0103082156478714	0.00428675665815396	0.0167691918766327	0.0109404416577112	0.0190772967002421	0.00313869477673813	0	0	0	0.00645161290322581	0.0174825174825175	0.00499168053244592	0.00339296730413325	0.00361228175797712	0.00468340202322967	0.00216076058772688	0.00298762270593257	0.00737553779963122	0.0148716718637563	0.0141403252908912	0.00635211682656102
UL28	E	cluster_7	4.4377385284459e-05	0.000126633573092898	0.000137709433096167	0	0	0	0	0	0	0	0.00387596899224806	0	0.00029585798816568	0.000346740638002774	0	0	0	0	0	9.06152777358263e-05	0	0	0	0	0	0	0	0	0	0	0.000529380624669137	0.000659630606860158	0	0	0	0	0	0	0	0	5.96374045801527e-05	1.86417612736051e-05	6.66311300639659e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.76270592358921e-05	0	0.000182415176942722	0.000168534591724952	8.08008985059914e-06	7.31491437892719e-06	1.69201874756772e-05	0	0	0	0.0032258064516129	0	0	0	0.000150511739915713	0	0	0	8.01688891264263e-05	5.13997875475448e-05	4.75571478393202e-05	3.27428702400052e-05
UL29	E	cluster_7	0.000887547705689181	0.000911761726268868	0.00119348175350011	0.0113636363636364	0.0116959064327485	0	0	0.00284090909090909	0	0	0	0.00365296803652968	0.000887573964497041	0.00173370319001387	0.00108433734939759	0.000930124404139054	0.000439302972616781	6.89179875947622e-05	0.000599978182611541	0.000332256018364696	0	0	0	0.0151515151515152	0.0212765957446809	0	0	0.00193798449612403	0.0099009900990099	0.00281531531531532	0.00105876124933827	0.00197889182058048	0.00213371266002845	0.00118343195266272	0.001850994909764	0	0	0	0	0	8.9456106870229e-05	9.32088063680257e-05	0.000233208955223881	0	0	0	0	0.00657894736842105	0.00255102040816327	0.00647249190938511	0	0.00544959128065395	0	0	0.000412371134020619	0.00065167807103291	0.000262881177707676	0.000206164312957427	0.000364830353885443	0.000842672958624758	0.000161601797011983	0.000117038630062835	5.92206561648703e-05	0	0	0	0.032258064516129	0.013986013986014	0.00499168053244592	0.000616903146206046	0.000752558699578567	0.00337204945672537	0.000432152117545376	0.000543204128351376	0.00154993185644424	0.00191892540177501	0.00171205732221553	0.00119511476376019
UL30	E	cluster_2	6.65660779266886e-05	0.000202613716948637	0.000183612577461556	0.0170454545454545	0	0.0133333333333333	0	0	0	0	0	0.00091324200913242	0.00029585798816568	0.00208044382801664	0.000481927710843373	0	0.000439302972616781	0.000275671950379049	0.000109086942293008	0.000332256018364696	0	0	0	0	0	0	0.00294117647058824	0	0	0	0.00158814187400741	0.000659630606860158	0.00237079184447606	0.00118343195266272	0.000925497454881999	0	0	0	0.0126582278481013	0	0	1.86417612736051e-05	0	0	0	0.0099009900990099	0	0	0	0.00647249190938511	0	0.00544959128065395	0.00086244070720138	0.000459558823529412	0	0.00065167807103291	0.000175254118471784	0.000206164312957427	0	0.000505603775174855	4.04004492529957e-05	7.31491437892719e-06	0	0	0	0	0	0.00699300699300699	0.000831946755407654	0.000771128932757557	0	0.000187336080929187	6.17360167921966e-05	0	0.000213783704337137	0.000342665250316965	0.000301195269649028	8.18571756000131e-05
UL31	L	cluster_1	0.0343702849028135	0.0322409077094519	0.0262565985770025	0.00568181818181818	0.0116959064327485	0.0133333333333333	0.0104712041884817	0.0227272727272727	0.0224719101123596	0.0274223034734918	0.0465116279069768	0.034703196347032	0.028698224852071	0.0256588072122053	0.0350602409638554	0.0358097895593536	0.0339727632156978	0.0272226050999311	0.0470164721282862	0.0374845198900535	0	0	0	0.0303030303030303	0.0212765957446809	0.0232558139534884	0.0294117647058824	0.0290697674418605	0.0495049504950495	0.0197072072072072	0.0259396506087877	0.0329815303430079	0.036036036036036	0.0307692307692308	0.044423877834336	0	0	0.0319148936170213	0.0126582278481013	0	0.0369751908396947	0.0370784631732006	0.0310834221748401	0	0	0	0.0256410256410256	0.0263157894736842	0.0127551020408163	0.0226537216828479	0.0231660231660232	0.00817438692098093	0.0172488141440276	0.0202205882352941	0.0189690721649485	0.0198761811665037	0.0212057483350859	0.0225749922688383	0.0354797519153594	0.050307575629898	0.0374754567270788	0.0389519190677873	0.0199658212212991	0	0	0	0.00645161290322581	0.0034965034965035	0.0149750415973378	0.0394818013571869	0.0370258880192655	0.031097789434245	0.029201135942709	0.0297986264695612	0.0382138371502632	0.040314566699791	0.0419454043942805	0.037588815035526
UL32	L	cluster_8	6.65660779266886e-05	0.000101306858474319	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116265550517382	0	0	2.72717355732519e-05	0	0	0	0	0	0	0	0	0	0	0	0.000529380624669137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000459558823529412	0.000412371134020619	0	8.76270592358921e-05	0.000206164312957427	0	0.000168534591724952	0	4.38894862735632e-05	0	0	0	0	0	0	0	0	0	0.000187336080929187	3.08680083960983e-05	3.88002948822411e-05	8.01688891264263e-05	5.13997875475448e-05	9.51142956786405e-05	4.91143053600079e-05
UL33	E	cluster_1	0.000887547705689181	0.00144362273325904	0.00137709433096167	0	0.00584795321637427	0	0	0	0	0	0	0.00136986301369863	0.00266272189349112	0.00208044382801664	0.000602409638554217	0.000813858853621672	0.00102504026943916	0.000689179875947622	0.00057270644703829	0.000573896758993566	0	0	0	0	0	0	0	0.00193798449612403	0	0.000563063063063063	0	0.00197889182058048	0.00118539592223803	0.000788954635108481	0.000462748727441	0	0	0	0	0	0.000357824427480916	0.000466044031840128	0.000466417910447761	0	0	0	0	0	0	0	0	0	0.00086244070720138	0.000459558823529412	0.00164948453608247	0.000325839035516455	0.000525762355415352	0.000824657251829708	0.000364830353885443	0.000505603775174855	0.00037168413312756	0.00036574571894636	0.000101521124854063	0	0	0	0	0	0.000831946755407654	0	0.000150511739915713	0	0.000154340041980491	0.000310402359057929	0.000347398519547847	0.000308398725285269	0.000317047652262135	0.000278314397040045
UL34	E	cluster_4	0.0228543534214964	0.0222621821497315	0.0285976589396374	0.0170454545454545	0.0233918128654971	0.0133333333333333	0.00523560209424084	0.00852272727272727	0.0243445692883895	0.0274223034734918	0.0232558139534884	0.0191780821917808	0.0239644970414201	0.0211511789181692	0.0169879518072289	0.017672363678642	0.0128862205300923	0.00613370089593384	0.0239991273044617	0.0215664361011267	0	0.0384615384615385	0	0.0303030303030303	0.0212765957446809	0.0465116279069768	0.0235294117647059	0.0232558139534884	0.0264026402640264	0.0118243243243243	0.0148226574907358	0.0158311345646438	0.0225225225225225	0.0110453648915187	0.022211938917168	0	0	0.0319148936170213	0.0126582278481013	0.0194174757281553	0.00986999045801527	0.0114273996607199	0.00892857142857143	0.0106382978723404	0	0.0198019801980198	0.0224358974358974	0.0197368421052632	0.0306122448979592	0.0226537216828479	0.0231660231660232	0.0572207084468665	0.0137990513152221	0.0215992647058824	0.0136082474226804	0.0141739980449658	0.0165615141955836	0.0150499948458922	0.0103976650857351	0.0227521698828685	0.0120635741469445	0.0164439275238283	0.00632815011590328	0	0	0	0.00967741935483871	0.027972027972028	0.00915141430948419	0.0192782233189389	0.0191149909692956	0.0282877482203072	0.0114828991233486	0.0112908858107322	0.00889874669303332	0.0151458040640099	0.0151231730129038	0.0102157755148816
UL35	L	cluster_1	0.122991923315878	0.111158950460946	0.0666054624741795	0.00568181818181818	0	0	0.00523560209424084	0.00284090909090909	0.0205992509363296	0.0219378427787934	0.0232558139534884	0.0242009132420091	0.0346153846153846	0.0305131761442441	0.0502409638554217	0.0739448901290548	0.0664811831893396	0.144589937973811	0.115768517508454	0.123357598091038	0	0	0	0	0.0212765957446809	0	0.0470588235294118	0.0368217054263566	0.0495049504950495	0.0788288288288288	0.0598200105876125	0.0745382585751979	0.0559506875296349	0.0729783037475345	0.0564553447478019	0	0	0	0.0126582278481013	0	0.122405772900763	0.127304587737449	0.117870469083156	0	0	0	0.0128205128205128	0.0328947368421053	0.0178571428571429	0.00970873786407767	0.00772200772200772	0.0108991825613079	0.0332039672272531	0.03125	0.0301030927835052	0.0465949820788531	0.0552926743778479	0.0520564890217503	0.0997811017876687	0.088564927951462	0.0963469913785441	0.0882105524954831	0.108399181062926	0	0	0	0	0	0.0449251247920133	0.0314620604565083	0.0379289584587598	0.0348445110528288	0.078219533275713	0.0690645248903892	0.0521097779321771	0.0785046088476168	0.0822580133794109	0.0769293736288923
UL36	L	cluster_6	0.00124256678796485	0.000734474723938811	0.00151480376405784	0	0	0	0	0	0	0.00182815356489945	0	0	0	0.000346740638002774	0.00036144578313253	0.000232531101034763	0.000732171621027969	6.89179875947622e-05	0.000163630413439511	0.000120820370314435	0	0	0	0	0	0	0	0	0	0	0	0	0.000474158368895211	0	0	0	0	0	0	0	0.00107347328244275	0.00119307272151073	0.000699626865671642	0	0	0	0	0	0	0	0	0	0	0.00183823529411765	0	0.000162919517758227	0	0.000412328625914854	0.000547245530828165	0.00101120755034971	0.000597926648944336	0.000541303664040612	0.000321483562037867	0	0	0	0	0	0	0	0	0.000187336080929187	0.000154340041980491	0.000194001474411206	0.000187060741294995	0.000908062913339958	0.000665800069750483	0.000556628794080089
UL37	L	cluster_1	0.00323954912576551	0.00321649275655962	0.0054624741794813	0	0	0	0	0	0.00374531835205993	0	0	0.00228310502283105	0.000887573964497041	0.00312066574202497	0.00204819277108434	0.00220904545983025	0.00131790891785034	0.000137835975189524	0.000845423802770808	0.000422871296100523	0	0	0	0	0.0212765957446809	0	0	0.00193798449612403	0	0.000563063063063063	0.000529380624669137	0.000659630606860158	0.000711237553342817	0.00118343195266272	0.001388246182323	0	0	0	0	0	0.00158039122137405	0.00076431221221781	0.00143256929637527	0	0	0	0	0	0	0	0.00386100386100386	0	0.00215610176800345	0	0	0.00130335614206582	0.00131440588853838	0.00206164312957427	0.000912075884713608	0.00151681132552456	0.000888809883565905	0.000680287037240229	0.000964450686113602	0	0	0	0	0	0	0.000925354719309069	0.00045153521974714	0.000936680404645935	0.00111124830225954	0.00135801032087844	0.000962026669517116	0.00200459171435425	0.00139500966995339	0.00108051471792017
UL38	E	cluster_4	0.0144892162953759	0.0176780468037686	0.0160661005278862	0.0170454545454545	0.0116959064327485	0.0266666666666667	0.0104712041884817	0.00852272727272727	0.0112359550561798	0.0182815356489945	0.0193798449612403	0.019634703196347	0.0171597633136095	0.0187239944521498	0.0192771084337349	0.0131380072084641	0.0158149070142041	0.00923501033769814	0.0125995418348424	0.0119914217537077	0	0	0	0.0303030303030303	0	0.0465116279069768	0.00882352941176471	0.0155038759689922	0.0099009900990099	0.0101351351351351	0.00952885124404447	0.00593667546174143	0.0104314841156946	0.00749506903353057	0.010643220731143	0	0	0	0.0126582278481013	0	0.0110031011450382	0.0127696064724195	0.0153917910447761	0.0106382978723404	0	0.0198019801980198	0.00961538461538462	0.00657894736842105	0.0153061224489796	0.00323624595469256	0.0115830115830116	0.00817438692098093	0.0116429495472186	0.0124080882352941	0.0235051546391753	0.0166177908113392	0.0193655800911321	0.0172147201319452	0.0136811382707041	0.015589449734558	0.0166853855414872	0.0198526776244084	0.0235190605911914	0	0	0	0.00645161290322581	0.00699300699300699	0.0183028286189684	0.0285317705120296	0.027844671884407	0.0224803297115024	0.0281824916656377	0.028169014084507	0.0201491141337752	0.0196689853681938	0.0170571636917029	0.0173700926623228
UL39	E	cluster_9	2.21886926422295e-05	0	0	0	0	0	0	0	0	0	0	0.00045662100456621	0	0	0	0	0	0	2.72717355732519e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33155650319829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42672958624758e-05	0	2.19447431367816e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71332625158483e-05	0	0
