gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL49	L	8h	8	PK-15	PK-15_dcDNA_8h	0.00816984464541075	0.000684864636179378	0.0838283548713606	cluster_1
UL48	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_5
UL48	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_5
UL48	L	12h	12	C6	C6_dcDNA_12h	2.32346999676796e-05	2.22625352362667e-05	0.95815892898272	cluster_5
UL48	L	12h	12	NRK	NRK_dcDNA_12h	0	0		cluster_5
UL48	L	12h	12	PC-12	PC-12_dcDNA_12h	0	0		cluster_5
UL48	L	12h	12	PK-15	PK-15_dcDNA_12h	1.07717305684012e-05	5.33844688379354e-06	0.495597884656886	cluster_5
UL48	L	1h	1	C6	C6_dcDNA_1h	0	0		cluster_5
UL48	L	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_5
UL48	L	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_5
UL48	L	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_5
UL48	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0	0		cluster_5
UL48	L	2h	2	C6	C6_dcDNA_2h	0	0		cluster_5
UL48	L	2h	2	NRK	NRK_dcDNA_2h	0	0		cluster_5
UL48	L	2h	2	PC-12	PC-12_dcDNA_2h	0	0		cluster_5
UL48	L	2h	2	PK-15	PK-15_dcDNA_2h	0	0		cluster_5
UL48	L	4h	4	C6	C6_dcDNA_4h	0	0		cluster_5
UL48	L	4h	4	NRK	NRK_dcDNA_4h	0	0		cluster_5
UL48	L	4h	4	PC-12	PC-12_dcDNA_4h	0	0		cluster_5
UL48	L	4h	4	PK-15	PK-15_dcDNA_4h	0	0		cluster_5
UL48	L	6h	6	C6	C6_dcDNA_6h	0	0		cluster_5
UL48	L	6h	6	NRK	NRK_dcDNA_6h	0	0		cluster_5
UL48	L	6h	6	PC-12	PC-12_dcDNA_6h	0	0		cluster_5
UL48	L	6h	6	PK-15	PK-15_dcDNA_6h	8.90765434738071e-06	1.54285099059252e-05	1.73205080756888	cluster_5
UL48	L	8h	8	C6	C6_dcDNA_8h	0	0		cluster_5
UL48	L	8h	8	NRK	NRK_dcDNA_8h	0	0		cluster_5
UL48	L	8h	8	PC-12	PC-12_dcDNA_8h	0	0		cluster_5
UL48	L	8h	8	PK-15	PK-15_dcDNA_8h	0	0		cluster_5
UL47	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_6
UL47	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_6
UL47	L	12h	12	C6	C6_dcDNA_12h	0.00112069936499495	0.000295903013773554	0.264034247735019	cluster_6
UL47	L	12h	12	NRK	NRK_dcDNA_12h	9.43315746906182e-05	4.17704255991162e-05	0.442804286222421	cluster_6
